Date,Open,High,Low,Close,Adj Close,Volume,Matdiff,,Maturity date
23/12/2019,7.7,7.72,7.65,7.67,7.67,3270100,172,,
24/12/2019,7.64,7.67,7.61,7.62,7.62,941000,171,,
26/12/2019,7.61,7.68,7.61,7.66,7.66,2242900,169,,
27/12/2019,7.66,7.66,7.66,7.66,7.66,0,168,,
30/12/2019,7.74,7.78,7.69,7.72,7.72,2841400,165,,
31/12/2019,7.7,7.79,7.67,7.78,7.78,2233800,164,,
02/01/2020,8.11,8.33,8.05,8.33,8.33,11434500,162,,
03/01/2020,8.08,8.18,8.06,8.12,8.12,5744200,161,,
06/01/2020,7.89,8.08,7.88,8.06,8.06,5565100,158,,
07/01/2020,8.17,8.29,8.14,8.25,8.25,4513500,157,,
08/01/2020,8.52,8.63,8.46,8.57,8.57,8353400,156,,
09/01/2020,8.62,8.63,8.55,8.61,8.61,4900100,155,,
10/01/2020,8.54,8.59,8.51,8.52,8.52,3734000,154,,
13/01/2020,8.43,8.49,8.39,8.48,8.48,4841400,151,,
14/01/2020,8.5,8.67,8.5,8.58,8.58,5653200,150,,
15/01/2020,8.51,8.51,8.4,8.41,8.41,5260800,149,,
16/01/2020,8.49,8.55,8.47,8.54,8.54,3088700,148,,
17/01/2020,8.46,8.47,8.41,8.42,8.42,4388900,147,,
21/01/2020,8.36,8.39,8.27,8.27,8.27,3883600,143,,
22/01/2020,8.34,8.42,8.32,8.4,8.4,3243200,142,,
23/01/2020,8.45,8.57,8.38,8.56,8.56,6494800,141,,
24/01/2020,8.67,8.69,8.51,8.57,8.57,8226100,140,,
27/01/2020,8.5,8.59,8.47,8.54,8.54,5431100,137,,
28/01/2020,8.6,8.67,8.54,8.67,8.67,3801300,136,,
29/01/2020,8.75,8.81,8.69,8.77,8.77,5691300,135,,
30/01/2020,9.06,9.31,9.02,9.3,9.3,11896500,134,,
31/01/2020,9.3,9.34,9.09,9.15,9.15,8241800,133,,
03/02/2020,9,9.09,8.95,8.96,8.96,5670300,130,,
04/02/2020,9.04,9.05,8.98,8.99,8.99,4722000,129,,
05/02/2020,9.12,9.12,9.02,9.11,9.11,5814500,128,,
06/02/2020,10.17,10.45,10.1,10.37,10.37,23345400,127,,
07/02/2020,10.39,10.47,10.32,10.41,10.41,5954200,126,,
10/02/2020,10.23,10.35,10.12,10.3,10.3,8158500,123,,
11/02/2020,10.43,10.66,10.37,10.5,10.5,7890200,122,,
12/02/2020,10.86,10.9,10.79,10.85,10.85,5476600,121,,
13/02/2020,10.99,11.13,10.95,11.02,11.02,8443200,120,,
14/02/2020,11.09,11.16,11,11.04,11.04,5973900,119,,
18/02/2020,10.73,10.79,10.68,10.71,10.71,6397400,115,,
19/02/2020,10.59,10.73,10.56,10.67,10.67,7628200,114,,
20/02/2020,10.7,10.82,10.58,10.67,10.67,6287800,113,,
21/02/2020,10.58,10.58,10.16,10.24,10.24,11119100,112,,
24/02/2020,9.68,9.77,9.59,9.64,9.64,10693400,109,,
25/02/2020,9.64,9.66,9.29,9.33,9.33,16133100,108,,
26/02/2020,9.58,9.73,9.44,9.45,9.45,8695400,107,,
27/02/2020,9.13,9.26,8.88,8.98,8.98,12148100,106,,
28/02/2020,8.66,8.8,8.47,8.72,8.72,9583800,105,,
02/03/2020,8.46,8.6,8.29,8.59,8.59,12264600,102,,
03/03/2020,8.58,8.65,8.07,8.14,8.14,15845600,101,,
04/03/2020,8.15,8.25,7.96,8.2,8.2,10606200,100,,
05/03/2020,7.83,7.95,7.7,7.75,7.75,11180000,99,,
06/03/2020,7.6,7.78,7.5,7.59,7.59,10970300,98,,
09/03/2020,6.6,6.93,6.59,6.62,6.62,13790400,95,,
10/03/2020,7.21,7.28,6.65,6.96,6.96,11166100,94,,
11/03/2020,6.77,6.88,6.4,6.51,6.51,18288300,93,,
12/03/2020,6.1,6.1,5.4,5.53,5.53,16434800,92,,
13/03/2020,6.15,6.17,5.55,5.97,5.97,10609900,91,,
16/03/2020,5.03,5.68,4.99,5.48,5.48,12521300,88,,
17/03/2020,5.49,5.85,5.38,5.79,5.79,11880600,87,,
18/03/2020,5.56,5.73,5.31,5.56,5.56,15663600,86,,
19/03/2020,5.77,6.05,5.62,5.86,5.86,13403100,85,,
20/03/2020,6,6.13,5.66,5.76,5.76,12969800,84,,
23/03/2020,6,6.09,5.84,5.84,5.84,11119000,81,,
24/03/2020,6.46,6.75,6.3,6.58,6.58,9838900,80,,
25/03/2020,6.77,7.12,6.53,6.88,6.88,10449100,79,,
26/03/2020,6.87,7.06,6.79,6.99,6.99,8193100,78,,
27/03/2020,6.5,6.62,6.41,6.47,6.47,6165200,77,,
30/03/2020,6.34,6.52,6.21,6.51,6.51,5937700,74,,
31/03/2020,6.36,6.6,6.33,6.42,6.42,5114000,73,,
01/04/2020,6.1,6.21,5.95,5.96,5.96,5716200,72,,
02/04/2020,6.02,6.32,5.92,6.02,6.02,6539400,71,,
03/04/2020,5.92,5.97,5.79,5.9,5.9,4594300,70,,
06/04/2020,6.34,6.4,6.21,6.38,6.38,5750300,67,,
07/04/2020,6.82,6.84,6.56,6.64,6.64,7775600,66,,
08/04/2020,6.59,6.62,6.44,6.54,6.54,4605000,65,,
09/04/2020,6.74,6.78,6.54,6.69,6.69,7326900,64,,
13/04/2020,6.66,6.67,6.44,6.52,6.52,3851700,60,,
14/04/2020,6.83,6.98,6.73,6.85,6.85,6054000,59,,
15/04/2020,6.31,6.38,6.14,6.23,6.23,7404100,58,,
16/04/2020,6.24,6.26,6.11,6.22,6.22,2359200,57,,
17/04/2020,6.5,6.56,6.38,6.54,6.54,4337300,56,,
20/04/2020,6.26,6.47,6.23,6.33,6.33,5056100,53,,
